s.no,msg,old_tags,new_tags
1,"Hey Twitterverse: When you're looking to contribute to an #OpenSource project, what items make you really excited about a particular project vs. another? A good getting started guide? An obviously engaged community? An ambassador program? Inquiring minds want to know!","['program', 'items', 'contribute', 'project']",['contribute']
2,"RT @fresheventsfl: Companies like Microsoft,  Google and others have large DevRel teams, but does DevRel make a difference in the day-to-da…","['rt', 'DevRel', 'difference']","['rt', 'microsoft']"
3,RT @Bitergia: Great article from @mary_grace about how effectively track the efforts and contributions of companies #DevRel teams. Basicall…,"['rt', 'DevRel', 'article']","['track', 'article']"
4,"RT @editingemily: It doesn’t matter what you believe, or what side you’re on, or what your experience has been. 

We learn from others. Thr…",['rt'],"['rt', 'learn']"
5,@RohitGuha96 I’m glad it was helpful!,"['was', 'm', 'glad']",['glad']
6,"RT @RohitGuha96: The Truth About DevRel &amp; How To Make It Work | OpenView 
https://t.co/6HZ55MgXRG 

@mary_grace thanks for your insights","['rt', 'co', 'DevRel', 'https']","['https co', 'https t co', 'rt']"
7,@ellenkorbes 😁❤️ thank you!!,[],[]
8,RT @ellenkorbes: Casually catching up on the latest issues of #DevRelWeekly (by @mary_grace) when suddenly... Surprise! I'm mentioned there…,"['rt', 'm']",['rt']
9,@IAmJerdog Glad you’re finally on your way home!,"['finally', 'glad']","['glad', 'finally']"
10,@annthurium @mistermocha @zinczar #winning https://t.co/lVa5bwFsUI,"['co', 'https']","['https co', 'https t co']"
11,"RT @OpenViewVenture: The real value developer relations teams provide is in the connections they make, so it's important to understand that…","['rt', 's', 'important']","['rt', 'connections', 'important']"
12,@zinczar Troutsers! https://t.co/OccZjqvHjX,"['co', 'https']","['https co', 'https t co']"
13,"RT @TheCR: ""Developer Relations"" have been buzzwords in the tech industry but what does the phrase actually mean? And how does it differ fr…","['rt', 'mean', 'phrase']","['rt', 'phrase', 'mean']"
14,"RT @remotesynth: Companies like Microsoft and others now have huge DevRel teams, but what difference does it make to you? @mary_grace will…","['rt', 'DevRel', 'difference']","['rt', 'microsoft']"
15,@breanneboland I truly enjoyed both posts 👏 Thanks for taking the time to write it all out (and for doing the hard work that you wrote about 😊).,"['out', 'posts', 'write', 'time']",[]
16,@gitbisect 😔 Sending hugs and well-wishes. Let us know if there’s anything we can do to help?,"['let', 's', 'hugs', 'help']",['hugs']
17,"Best. Feeling. Ever. 

#AchievementUnlocked #WeHaveArrived 

😂😂

No but seriously... we exchanged very excited high fives on the way out the door. 🙌🎉😅 https://t.co/V3Q13DkL32","['out', 'co', 'https']","['https co', 'https t co']"
18,@yashovardhan DM me your email address and we’ll figure something out 😊,"['figure', 'dm', 'email', 'address', 'll', 'out']","['dm', 'email address']"
19,"@alexfinnarn @yashovardhan thanks for the recommendation, @alexfinnarn! 😊 @yashovardhan - I’m so glad the newsletter has been helpful for you! Let me know if there’s anything I can do to help you get a copy of the book. Would an ebook copy work? 🤔","['help', 'glad', 'get', 'let', 's', 'm', 'copy', 'newsletter']","['book', 'recommendation', 'glad', 'newsletter']"
20,@dstevensio @DevRelians you got it!,['got'],[]
21,"@PeterKimFrank @bendhalpern @jessleenyc ahhh I freaking LOVE that analogy! It works particularly well for me considering I often need my office clean before I can truly focus on work. Maybe this is the same “cleaning” process, but for my mind.","['this', 'Clean', 'focus', 'process', 'maybe']","['clean', 'focus']"
22,"tfw you're being über productive on everything except the thing you're supposed to be focusing on... 🙃

productive procrastination at its finest! 😏","['except', 'ber']",[]
